area_name,customers,customers_out,percent_out
EVERSOURCE,0,402081,0.0
CT,1281259,402081,31.38171126993059
CTE,1281259,402081,31.38171126993059
ANDOVER,1430,907,63.42657342657343
ASHFORD,2201,2089,94.91140390731486
AVON,8735,5747,65.79278763594733
BARKHAMSTED,1789,940,52.54332029066517
BEACON FALLS,2836,362,12.764456981664315
BERLIN,9275,1401,15.105121293800538
BETHANY,2386,1477,61.90276613579212
BETHEL,8969,3858,43.01482885494481
BETHLEHEM,1930,877,45.44041450777202
BLOOMFIELD,10612,2507,23.624199019977386
BOLTON,2258,1467,64.96899911426041
BRANFORD,16589,5195,31.315932244258242
BRIDGEWATER,978,964,98.56850715746421
BRISTOL,29873,5471,18.314196766310715
BROOKFIELD,8453,5362,63.43310067431681
BROOKLYN,3595,673,18.720445062586926
BURLINGTON,3900,2679,68.6923076923077
CANAAN,1311,595,45.385202135774215
CANTERBURY,2294,1202,52.39755884917175
CANTON,5036,1193,23.689436060365367
CHAPLIN,1128,1122,99.46808510638297
CHESHIRE,11505,7532,65.46718817905258
CHESTER,1976,671,33.95748987854251
CLINTON,7155,2455,34.31167016072676
COLCHESTER,7350,2873,39.08843537414966
COLEBROOK,826,607,73.48668280871671
COLUMBIA,2493,1247,50.020056157240276
CORNWALL,1211,1202,99.25681255161024
COVENTRY,5685,2264,39.82409850483729
CROMWELL,7154,828,11.573944646351691
DANBURY,37485,14237,37.980525543550755
DARIEN,8094,2443,30.18285149493452
DEEP RIVER,2473,876,35.42256368782855
DURHAM,3134,3094,98.72367581365667
EAST GRANBY,2661,196,7.36565201052236
EAST HADDAM,4947,3806,76.9355164746311
EAST HAMPTON,6292,3320,52.765416401780044
EAST HARTFORD,23238,4815,20.72037180480248
EAST LYME,10160,1218,11.988188976377954
EAST WINDSOR,6307,2369,37.561439670207704
EASTFORD,928,907,97.73706896551724
EASTON,0,0,0.0
ELLINGTON,7693,1087,14.129728324450799
ENFIELD,19527,2499,12.797664771854356
ESSEX,4037,1161,28.75897944017835
FAIRFIELD,32,32,100.0
FARMINGTON,12819,9888,77.13550198923474
FRANKLIN,1030,574,55.72815533980583
GLASTONBURY,16778,9715,57.9032065800453
GOSHEN,1931,1906,98.70533402382186
GRANBY,4960,1077,21.713709677419356
GREENWICH,28236,7797,27.613684657883553
GRISWOLD,3428,935,27.275379229871643
GROTON,5645,33,0.5845881310894597
GUILFORD,11063,6687,60.44472566211697
HADDAM,3967,2148,54.14671036047392
HAMDEN,11,11,100.0
HAMPTON,893,800,89.58566629339306
HARTFORD,59457,5051,8.495215029348941
HARTLAND,875,297,33.94285714285714
HARWINTON,2572,1728,67.18506998444789
HEBRON,3982,2519,63.25966850828729
KENT,2159,1889,87.4942102825382
KILLINGLY,8927,1751,19.614652178783466
KILLINGWORTH,2878,1550,53.85684503127172
LEBANON,2229,1473,66.08344549125168
LEDYARD,6810,596,8.751835535976506
LISBON,1882,670,35.60042507970245
LITCHFIELD,4723,2297,48.63434257886936
LYME,1345,567,42.15613382899628
MADISON,9232,5765,62.44584055459272
MANCHESTER,29223,4597,15.730760017794204
MANSFIELD,7512,3201,42.61182108626198
MARLBOROUGH,2657,2288,86.11215656755739
MERIDEN,28339,4334,15.293411905854123
MIDDLEBURY,3558,2426,68.18437324339517
MIDDLEFIELD,2235,1829,81.834451901566
MIDDLETOWN,23144,2418,10.447632215693051
MONROE,7979,5373,67.33926557212683
MONTVILLE,8086,836,10.338857284194905
MORRIS,1407,853,60.62544420753376
NAUGATUCK,14541,3237,22.261192490200123
NEW BRITAIN,34911,1892,5.419495288018103
NEW CANAAN,8492,5677,66.85115402731982
NEW FAIRFIELD,6084,4039,66.38724523339909
NEW HARTFORD,3317,2798,84.35333132348508
NEW LONDON,13909,186,1.3372636422460278
NEW MILFORD,13990,7553,53.98856325947106
NEWINGTON,14834,1325,8.932182823243899
NEWTOWN,11460,6717,58.61256544502618
NORFOLK,1118,1104,98.74776386404294
NORTH BRANFORD,49,49,100.0
NORTH CANAAN,1471,505,34.33038749150238
NORTH STONINGTON,2629,223,8.482312666413085
NORWALK,31736,8476,26.70783967733804
NORWICH,4,0,0.0
OLD LYME,5506,1747,31.729022884126408
OLD SAYBROOK,7136,1707,23.920964125560538
OXFORD,5694,3897,68.4404636459431
PLAINFIELD,7259,1619,22.30334756853561
PLAINVILLE,9468,2065,21.810308407266582
PLYMOUTH,5820,1642,28.213058419243985
POMFRET,1926,900,46.728971962616825
PORTLAND,4676,2171,46.42857142857143
PRESTON,2252,664,29.484902309058615
PROSPECT,4223,2712,64.21974899360644
PUTNAM,5228,1736,33.20581484315226
REDDING,3829,3668,95.79524680073126
